1,B6,ATL,ANC,08:00,12:00,4685
2,WN,ATL,TYR,07:00,10:00,8858
3,AS,ATL,TYR,14:00,20:00,9907
4,AS,ATL,LAX,12:00,15:00,7766
5,DL,ATL,LAX,20:00,00:00,2288
6,AA,ATL,CLT,17:00,19:00,4846
7,WN,ATL,CLT,21:00,03:00,1217
8,DL,ATL,CLT,14:00,20:00,6183
9,UA,ATL,SFO,20:00,23:00,7203
10,AS,ATL,SFO,16:00,22:00,3687
11,AA,ATL,SFO,17:00,22:00,9349
12,B6,ATL,SFO,13:00,15:00,5223
13,WN,ATL,SFO,08:00,12:00,8142
14,AA,ATL,HNL,11:00,13:00,8748
15,DL,ATL,HNL,19:00,21:00,7372
16,WN,ATL,HNL,05:00,07:00,7102
17,B6,ATL,LBB,11:00,15:00,6004
18,AS,ATL,LBB,09:00,11:00,9853
19,DL,ATL,LBB,10:00,16:00,6565
20,AA,ATL,LBB,07:00,13:00,1663
21,DL,ATL,PHX,21:00,23:00,6915
22,AA,ATL,PHX,19:00,00:00,3915
23,B6,ATL,PHX,09:00,10:00,9129
24,DL,ATL,PSE,19:00,21:00,5937
25,B6,ATL,PSE,09:00,12:00,3744
26,UA,ATL,PSE,18:00,21:00,5639
27,AS,ATL,PSE,08:00,11:00,5686
28,B6,BOS,COU,09:00,15:00,3558
29,AS,BOS,COU,11:00,12:00,5417
30,UA,BOS,COU,10:00,16:00,7714
31,WN,BOS,COU,17:00,21:00,5486
32,DL,BOS,COU,18:00,22:00,6307
33,AA,BOS,LAX,23:00,04:00,9946
34,AS,BOS,LAX,07:00,12:00,7253
35,UA,BOS,LAX,20:00,01:00,4458
36,WN,BOS,CLT,21:00,03:00,9678
37,B6,BOS,CLT,15:00,20:00,8242
38,AS,BOS,CLT,08:00,10:00,7846
39,DL,BOS,CLT,06:00,12:00,1596
40,UA,BOS,CLT,05:00,11:00,1674
41,AA,BOS,ABE,20:00,02:00,2539
42,UA,BOS,ABE,17:00,23:00,9087
43,B6,BOS,SFO,12:00,18:00,6173
44,AA,BOS,SFO,13:00,14:00,8554
45,AS,BOS,SFO,09:00,14:00,8217
46,WN,BOS,SFO,20:00,21:00,4930
47,WN,BOS,SAN,20:00,00:00,8358
48,B6,BOS,SAN,16:00,18:00,2523
49,DL,BOS,SAN,06:00,07:00,9338
50,UA,BOS,AUS,22:00,23:00,9410
51,WN,BOS,AUS,12:00,14:00,4603
52,B6,BOS,AUS,10:00,14:00,8546
53,AA,BOS,AUS,19:00,00:00,1512
54,AA,BOS,ABQ,22:00,01:00,9882
55,B6,BOS,ABQ,18:00,21:00,3888
56,AS,BOS,ABQ,07:00,08:00,6161
57,UA,BOS,ABQ,22:00,23:00,7115
58,WN,BOS,ABQ,22:00,04:00,8310
59,AA,BOS,CSG,19:00,21:00,8302
60,WN,BOS,CSG,20:00,21:00,6818
61,UA,BOS,CSG,05:00,06:00,9323
62,DL,BOS,CSG,16:00,17:00,8574
63,AS,BOS,CSG,08:00,10:00,7584
64,AS,CLT,MIA,19:00,01:00,5541
65,AA,CLT,MIA,18:00,20:00,1288
66,UA,CLT,MIA,09:00,12:00,4339
67,DL,CLT,MIA,18:00,19:00,2165
68,AA,CLT,TOL,20:00,02:00,8369
69,UA,CLT,TOL,19:00,22:00,2408
70,DL,CLT,TOL,07:00,13:00,4144
71,WN,CLT,TOL,07:00,11:00,8552
72,AA,CLT,LAX,13:00,15:00,9790
73,AS,CLT,LAX,06:00,12:00,4694
74,AS,CLT,PHL,22:00,00:00,7321
75,UA,CLT,PHL,20:00,22:00,5150
76,B6,CLT,PHL,20:00,22:00,3618
77,DL,CLT,PHL,05:00,06:00,6226
78,UA,CLT,MCI,13:00,15:00,4051
79,AA,CLT,MCI,15:00,20:00,3475
80,WN,CLT,MCI,20:00,22:00,8466
81,B6,CLT,MCI,05:00,07:00,6084
82,DL,CLT,MCI,19:00,20:00,2073
83,AS,CLT,MCI,05:00,08:00,8309
84,B6,CLT,MCK,18:00,23:00,1526
85,AS,CLT,JFK,23:00,01:00,9176
86,AA,CLT,JFK,23:00,04:00,2676
87,UA,CLT,JFK,20:00,01:00,5881
88,B6,CLT,JFK,11:00,13:00,9068
89,AS,CLT,AUS,18:00,20:00,4593
90,B6,CLT,AUS,11:00,13:00,4424
91,UA,CLT,AUS,09:00,11:00,1654
92,AS,CLT,CLE,08:00,13:00,6375
93,AA,CLT,CLE,23:00,01:00,5954
94,WN,CLT,CLE,14:00,15:00,8633
95,AA,CLT,EAU,09:00,15:00,2713
96,B6,CLT,EAU,17:00,23:00,2692
97,WN,CLT,EAU,21:00,22:00,8107
98,DL,CLT,EAU,13:00,16:00,8365
99,AS,CLT,EAU,15:00,16:00,8735
100,UA,CLT,EAU,22:00,00:00,6076
101,DL,ORD,MSN,23:00,01:00,8835
102,WN,ORD,MSN,16:00,17:00,1086
103,AS,ORD,MSN,21:00,01:00,4379
104,WN,ORD,CLT,15:00,17:00,7263
105,B6,ORD,CLT,12:00,16:00,2151
106,UA,ORD,CLT,05:00,10:00,7746
107,AA,ORD,CLT,10:00,15:00,3014
108,DL,ORD,CLT,10:00,12:00,9869
109,AS,ORD,CLT,10:00,15:00,3068
110,AS,ORD,PVU,17:00,21:00,3275
111,AA,ORD,PVU,14:00,17:00,1029
112,DL,ORD,PVU,13:00,15:00,3750
113,AA,ORD,JNU,10:00,12:00,4316
114,WN,ORD,SFO,20:00,22:00,5708
115,UA,ORD,BOS,11:00,13:00,4512
116,AS,ORD,BOS,19:00,20:00,2948
117,AA,ORD,BOS,15:00,16:00,6250
118,WN,ORD,BOS,22:00,01:00,6286
119,DL,ORD,SYR,23:00,05:00,8217
120,WN,ORD,SYR,19:00,20:00,5012
121,AS,ORD,PWM,16:00,17:00,8295
122,DL,ORD,PWM,20:00,00:00,1024
123,WN,ORD,PWM,11:00,16:00,1097
124,UA,ORD,PWM,15:00,16:00,4807
125,AA,ORD,PWM,19:00,21:00,9583
126,B6,ORD,PWM,06:00,11:00,6411
127,AA,ORD,ROA,07:00,13:00,9846
128,WN,ORD,ROA,17:00,22:00,4549
129,B6,ORD,ROA,10:00,11:00,4841
130,UA,ORD,ROA,20:00,01:00,7853
131,AS,ORD,ROA,17:00,22:00,3813
132,AA,ORD,CLE,08:00,11:00,7479
133,AS,ORD,CLE,06:00,07:00,1060
134,B6,ORD,CLE,22:00,23:00,3024
135,DL,ORD,CLE,12:00,15:00,7947
136,DL,DFW,ORD,05:00,07:00,9847
137,AS,DFW,ORD,17:00,22:00,6513
138,B6,DFW,CPR,13:00,15:00,6576
139,UA,DFW,CPR,12:00,18:00,1890
140,AS,DFW,CPR,21:00,02:00,4204
141,WN,DFW,CPR,13:00,18:00,7978
142,DL,DFW,CPR,08:00,14:00,7697
143,B6,DFW,CVG,13:00,16:00,1021
144,DL,DFW,CVG,14:00,20:00,6509
145,WN,DFW,CVG,21:00,22:00,8999
146,AA,DFW,CVG,12:00,16:00,7506
147,AS,DFW,CVG,21:00,00:00,3722
148,UA,DFW,CVG,17:00,22:00,3681
149,B6,DFW,OAK,20:00,02:00,5249
150,DL,DFW,OAK,16:00,20:00,8444
151,UA,DFW,OAK,19:00,23:00,2170
152,AA,DFW,OAK,14:00,16:00,3331
153,AS,DFW,OAK,06:00,12:00,5293
154,WN,DFW,OAK,08:00,10:00,4185
155,UA,DFW,HNL,17:00,22:00,3188
156,AA,DFW,HNL,05:00,07:00,3200
157,AS,DFW,HNL,14:00,17:00,2933
